username,followers_count,following_count,total_posts,avg_likes,avg_comments,engagement_rate,growth_rate
user_0,122958,1156,43,7747,754,0.0691,6.55
user_1,672155,2274,1906,17402,1123,0.0276,6.49
user_2,132932,247,330,3388,167,0.0267,10.02
user_3,366838,2721,1504,7813,805,0.0235,10.66
user_4,260178,3542,1251,9376,744,0.0389,10.37
user_5,645167,2498,2731,44704,3219,0.0743,4.96
user_6,111268,520,2505,7561,733,0.0745,8.74
user_7,733180,1998,725,26979,2262,0.0399,7.81
user_8,55886,3949,1379,2863,170,0.0543,5.17
user_9,138337,2060,441,8363,775,0.0661,8.15
user_10,522430,3850,1793,14045,1503,0.0298,14.1
user_11,955698,4168,2388,20805,488,0.0223,1.28
user_12,88498,3846,2654,6906,556,0.0843,13.4
user_13,900159,4038,966,47914,1317,0.0547,-1.09
user_14,913756,284,1206,71911,3180,0.0822,3.24
user_15,176203,978,1854,5927,550,0.0368,2.9
user_16,192335,3657,1584,11388,1510,0.0671,8.65
user_17,279167,572,868,7141,962,0.029,0.23
user_18,42090,3573,1609,1190,34,0.0291,13.0
user_19,330365,4576,1338,15141,1127,0.0492,12.09
user_20,65820,4938,2109,2130,204,0.0355,9.09
user_21,788201,1679,1967,17130,670,0.0226,5.79
user_22,322879,4678,1328,9170,1095,0.0318,13.86
user_23,719315,1366,406,8993,1049,0.014,12.12
user_24,328069,2907,2055,19457,2674,0.0675,6.49
user_25,777997,1174,1181,34580,729,0.0454,9.93
user_26,200041,2637,2045,3320,159,0.0174,7.64
user_27,792743,1073,2977,17455,2226,0.0248,8.0
user_28,104355,1428,735,1792,192,0.019,3.63
user_29,236796,3424,2498,12522,1706,0.0601,5.86
user_30,215176,1569,2621,3570,97,0.017,-0.67
user_31,185779,276,2867,11666,1138,0.0689,4.07
user_32,348449,941,445,3984,374,0.0125,9.83
user_33,422909,4122,1459,11611,286,0.0281,14.2
user_34,990436,2307,2093,71654,6216,0.0786,14.37
user_35,259795,2838,404,15664,1554,0.0663,7.45
user_36,487232,446,75,7360,330,0.0158,8.31
user_37,918040,2128,2701,61948,3440,0.0712,1.16
user_38,501186,4794,125,22309,2303,0.0491,9.82
user_39,157730,4474,2916,10926,883,0.0749,-0.8
user_40,871910,3287,689,45384,5969,0.0589,2.84
user_41,385681,3943,395,22264,1436,0.0614,9.36
user_42,150503,2055,762,11971,654,0.0839,3.28
user_43,655811,2066,986,17223,2549,0.0301,-1.15
user_44,528035,3221,327,28342,3923,0.0611,12.14
user_45,649143,2718,2158,27408,651,0.0432,3.28
user_46,453366,1928,821,5785,695,0.0143,-0.93
user_47,66725,1246,129,734,25,0.0114,-0.73
user_48,130981,1822,1684,2402,56,0.0188,2.28
user_49,85654,211,2652,4748,263,0.0585,1.03
user_50,954277,4026,359,47428,2609,0.0524,11.16
user_51,906778,1801,1608,44196,5591,0.0549,3.47
user_52,592723,825,998,7248,814,0.0136,11.68
user_53,320030,989,2423,13713,2024,0.0492,0.96
user_54,329947,3270,1935,24654,2773,0.0831,6.38
user_55,556839,589,187,21066,1566,0.0406,9.7
user_56,903648,4967,576,48566,5384,0.0597,9.08
user_57,274538,1511,924,17731,2658,0.0743,8.22
user_58,332236,405,124,21553,2420,0.0722,13.72
user_59,529178,3654,2067,24527,2919,0.0519,1.88
user_60,566894,3373,2217,39714,5638,0.08,6.39
user_61,490492,284,165,18342,637,0.0387,13.03
user_62,257840,1598,2783,18618,2078,0.0803,-0.68
user_63,474254,2146,893,12717,1660,0.0303,-1.05
user_64,350457,4263,318,10378,1495,0.0339,1.97
user_65,666987,2151,1756,9150,433,0.0144,8.76
user_66,271936,1723,665,17863,1527,0.0713,2.42
user_67,240931,2150,2790,9443,1024,0.0434,1.23
user_68,240629,3707,657,6265,326,0.0274,5.8
user_69,206041,4703,2306,5403,529,0.0288,8.43
user_70,699361,3646,2531,51121,2734,0.077,2.23
user_71,732912,3798,2520,50112,3174,0.0727,3.11
user_72,418113,3223,803,20381,1577,0.0525,8.43
user_73,69148,1865,916,3673,326,0.0578,14.08
user_74,778089,3891,390,33615,2636,0.0466,9.47
user_75,649531,2055,506,24303,2044,0.0406,11.31
user_76,252995,4543,2057,18742,1102,0.0784,4.24
user_77,907606,724,2232,17056,693,0.0196,2.63
user_78,679843,436,1380,26711,698,0.0403,5.72
user_79,911790,2208,211,31109,1414,0.0357,11.72
user_80,573843,2711,749,25748,2462,0.0492,5.76
user_81,257508,2114,2281,10824,1322,0.0472,12.39
user_82,804591,3901,2641,37270,1565,0.0483,14.81
user_83,897942,3303,976,17774,606,0.0205,-0.78
user_84,107530,4686,400,4937,579,0.0513,-1.23
user_85,605365,4316,2740,16326,974,0.0286,0.54
user_86,823352,789,817,18857,2709,0.0262,4.53
user_87,461337,1451,258,6707,756,0.0162,0.23
user_88,725839,3309,2767,46007,2874,0.0673,12.8
user_89,806889,2327,1125,32211,1856,0.0422,-1.61
user_90,460773,3954,1406,24819,2186,0.0586,3.37
user_91,209261,3973,2572,12750,386,0.0628,1.14
user_92,765469,4264,2269,44054,1555,0.0596,13.84
user_93,342097,3277,2987,14687,629,0.0448,9.38
