followers_count,following_count,avg_likes,avg_comments,engagement_rate,fraud_risk_score,fraud_flag,influencer_type
122958,1156,7747,754,0.06913742904081069,0,0,Genuine
672155,2274,17402,1123,0.027560607300399463,0,0,Genuine
132932,247,3388,167,0.026742996419221857,0,0,Genuine
366838,2721,7813,805,0.023492658884848354,0,0,Genuine
260178,3542,9376,744,0.03889644781649486,0,0,Genuine
645167,2498,44704,3219,0.07427999262206529,0,0,Genuine
111268,520,7561,733,0.07454074846317,0,0,Genuine
733180,1998,26979,2262,0.03988242996262855,0,0,Genuine
55886,3949,2863,170,0.05427119493254125,0,0,Genuine
138337,2060,8363,775,0.06605608044124131,0,0,Genuine
522430,3850,14045,1503,0.029760924908600196,0,0,Genuine
955698,4168,20805,488,0.022280050811030263,50,1,Suspicious
88498,3846,6906,556,0.0843182896788628,50,1,Suspicious
900159,4038,47914,1317,0.054691448955129035,0,0,Genuine
913756,284,71911,3180,0.082178393356651,50,1,Suspicious
176203,978,5927,550,0.03675873850047956,0,0,Genuine
192335,3657,11388,1510,0.0670600774689994,0,0,Genuine
279167,572,7141,962,0.029025636984314047,0,0,Genuine
42090,3573,1190,34,0.029080541696364932,50,1,Suspicious
330365,4576,15141,1127,0.04924250450259562,0,0,Genuine
65820,4938,2130,204,0.03546034639927074,0,0,Genuine
788201,1679,17130,670,0.022583072084404868,0,0,Genuine
322879,4678,9170,1095,0.03179209549088048,0,0,Genuine
719315,1366,8993,1049,0.0139605040906974,0,0,Genuine
328069,2907,19457,2674,0.06745837003801029,0,0,Genuine
777997,1174,34580,729,0.04538449377054153,0,0,Genuine
200041,2637,3320,159,0.017391434755875047,0,0,Genuine
792743,1073,17455,2226,0.024826456998043502,0,0,Genuine
104355,1428,1792,192,0.019012026256528196,0,0,Genuine
236796,3424,12522,1706,0.06008547441679758,0,0,Genuine
215176,1569,3570,97,0.01704186340484069,0,0,Genuine
185779,276,11666,1138,0.06892059920658417,0,0,Genuine
348449,941,3984,374,0.012506851791797365,0,0,Genuine
422909,4122,11611,286,0.028131347405706664,0,0,Genuine
990436,2307,71654,6216,0.07862194023642113,50,1,Suspicious
259795,2838,15664,1554,0.06627533247368117,0,0,Genuine
487232,446,7360,330,0.015783035597005123,0,0,Genuine
918040,2128,61948,3440,0.07122565465557057,0,0,Genuine
501186,4794,22309,2303,0.04910751696974776,0,0,Genuine
157730,4474,10926,883,0.07486844607874216,0,0,Genuine
871910,3287,45384,5969,0.058897133878496634,0,0,Genuine
385681,3943,22264,1436,0.06144974733004737,0,0,Genuine
150503,2055,11971,654,0.08388537105572647,0,0,Genuine
655811,2066,17223,2549,0.0301489301033377,0,0,Genuine
